record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
158,,,,2024,,Northbond,14.481089846584272,,chest,,,,
159,,,,2024,,Storm Crising,14.481715171874948,,waist,,,,
160,,,,2024,,Storm Crising,14.474980838930822,,gutter,,,,
161,,,,2024,,Storm Crising,14.490384328534752,,waist,,,,
162,,,,2024,,Northbound,14.481882308612565,,gutter,,,,
163,,,,2024,,by Tropical,14.475814931247912,,gutter,,,,
164,,,,2024,,Storm Crising,14.499204411270043,,waist,,,,
165,,,,2024,,Storm Crising,14.496486195722426,,knee,,,,
166,,,,2024,,Storm Crising,14.508465192894894,,gutter,,,,
167,,,,2024,,Storm Crising,14.502737621912187,,gutter,,,,
168,,,,2024,,Storm Crising,14.507095803376526,,chest,,,,
169,,,,2024,,Storm Crising,14.498330195484892,,waist,,,,
170,,,,2024,,by Tropical,14.500023291083304,,chest,,,,
171,,,,2024,,Storm Crising,14.498701240583152,,knee,,,,
172,,,,2024,,Storm Crising,14.503783634745869,,gutter,,,,
173,,,,2024,,Storm Crising,14.498226975544293,,knee,,,,
174,,,,2024,,Storm Crising,14.509482753691758,,gutter,,,,
175,,,,2024,,Storm Crising,14.468809635724792,,waist,,,,
176,,,,2024,,Storm Crising,14.510565325710733,,knee,,,,
177,,,,2024,,by Tropical,14.509487636752914,,knee,,,,
178,,,,2024,,Storm Crising,14.509981765057088,,gutter,,,,
179,,,,2024,,Storm Crising,14.492684755208328,,waist,,,,
180,,,,2024,,Storm Crising,14.510000947692113,,knee,,,,
181,,,,2024,,Storm Crising,14.50957751280398,,gutter,,,,
182,,,,2024,,Storm Crising,14.503858197230143,,gutter,,,,
184,,,,2024,,by Tropical,14.507798174057042,,knee,,,,
185,,,,2024,,Storm Crising,14.470037071088854,,knee,,,,
186,,,,2024,,Storm Crising,14.471927312245462,,waist,,,,
188,,,,2024,,Storm Crising,14.461711783456419,,chest,,,,
189,,,,2024,,Storm Crising,14.474439794254856,,chest,,,,
191,,,,2024,,by Tropical,14.465640148308452,,gutter,,,,
192,,,,2024,,Storm Crising,14.470530267166644,,knee,,,,
193,,,,2024,,Storm Crising,14.469790137340867,,chest,,,,
198,,,,2024,,of fastrack by Tropical,14.493059846559792,,knee,,,,
204,,,,2024,,Storm Crising,14.492684755208328,,knee,,,,
215,,,,2024,,Storm Crising,14.463491977469097,,gutter,,,,
217,,,,2024,,Storm Crising,14.47100300759739,,waist,,,,
218,,,,2024,,Storm Crising,14.458686997163165,,knee,,,,
235,,,,2024,,Storm Crising,14.489600319850393,,knee,,,,
236,,,,2024,,Storm Crising,14.489668182820417,,knee,,,,
238,,,,2024,,Southwest,14.495852873116622,,knee,,,,
240,,,,2024,,Enchanced,14.489049506470783,,knee,,,,
241,,,,2024,,Storm Crising,14.508465192894894,,waist,,,,
242,,,,2024,,Storm Crising,14.47517951255734,,knee,,,,
243,,,,2024,,Storm Crising,14.468809635724792,,gutter,,,,
244,,,,2024,,Storm Crising,14.495852873116622,,knee,,,,
246,,,,2024,,Storm Crising,14.489049506470783,,knee,,,,
247,,,,2024,,Enchanced,14.508465192894894,,waist,,,,
248,,,,2024,,Storm Crising,14.47517951255734,,knee,,,,
249,,,,2024,,Storm Crising,14.468809635724792,,gutter,,,,
250,,,,2024,,Storm Crising,14.48112178,,gutter,,,,
251,,,,2024,,Dr. A.,14.490847549002241,,knee,,,,
252,,,,2024,,Dr. A.,14.461084936317045,,knee,,,,
253,,,,2024,,Dr. A.,14.48461243571823,,knee,,,,
254,,,,2024,,Dr. A.,14.4847012675427,,knee,,,,
255,,,,2024,,Dr. A.,14.481859278606118,,knee,,,,
257,,,,2024,,Nortbound,14.479556620675234,,knee,,,,
258,,,,2024,,Southwest,14.479556620675234,,knee,,,,
259,,,,2024,,Storm Crising,14.478585115329807,,knee,,,,
260,,,,2024,,Dr. A. Southwest,14.478580473257095,,knee,,,,
261,,,,2024,,Ave. Storm Crising,14.475814931247912,,knee,,,,
262,,,,2024,,Storm Crising,14.47344916456886,,knee,,,,
263,,,,2024,,Estate Storm Crising,14.471039029414548,,waist,,,,
264,,,,2024,,Storm Crising,14.476108162201857,,gutter,,,,
267,,,,2024,,Dionisio Level,14.481873427205677,,gutter,,,,
268,,,,2024,,Subsided as,14.475635239119425,,gutter,,,,
270,,,,2024,,Subsided as,14.478639088842867,,gutter,,,,
271,,,,2024,,Subsided as,14.528784243713602,,knee,,,,
273,,,,2024,,Subsided as,14.501534029330896,,gutter,,,,
274,,,,2024,,Subsided as,14.490885533555252,,knee,,,,
275,,,,2024,,Subsided as,14.465033730612895,,waist,,,,
276,,,,2024,,Subsided as,14.50424642965824,,knee,,,,
277,,,,2024,,Subsided as,14.506648061743679,,gutter,,,,
279,,,,2024,,Subsided as,14.468809635724792,,gutter,,,,
280,,,,2024,,Subsided as,14.510000947692113,,waist,,,,
281,,,,2024,,Subsided as,14.509902488632427,,gutter,,,,
283,,,,2024,,Subsided as,14.535338976801013,,waist,,,,
284,,,,2024,,H Merville,14.485067366417672,,waist,,,,
285,,,,2024,,H Bosco,14.485876171152537,,knee,,,,
286,,,,2024,,H Bosco,14.48231413612893,,knee,,,,
288,,,,2024,,H Dionisio,14.48112178,,,,,,
289,,,,2024,,H Antonio St.,14.488824176666235,,gutter,,,,
290,,,,2024,,H Bosco,14.460871561409782,,knee,,,,
291,,,,2024,,H Green,14.49393854208995,,knee,,,,
292,,,,2024,,H Green,14.470934893848796,,knee,,,,
293,,,,2024,,H Green,14.470602225057428,,gutter,,,,
295,,,,2024,,H Sto. Ni,14.47517951255734,,waist,,,,
296,,,,2024,,H Vitalez Storm Isang,14.468809635724792,,gutter,,,,
297,,,,2024,,H Vitalez Storm Isang,14.48112178,,gutter,,,,
298,,,,2024,,H Vitalez Storm Isang,14.509611520522304,,gutter,,,,
299,,,,2024,,H Vitalez Storm Isang,14.509499909975986,,knee,,,,
301,,,,2024,,H Dionisio Avenue Enchanced of,14.474896061573808,,gutter,,,,
302,,,,2024,,H Dionisio,14.48112178,,gutter,,,,
303,,,,2024,,H Dionisio,14.481072827464267,,gutter,,,,
304,,,,2024,,H Dionisio,14.478355571368352,,gutter,,,,
305,,,,2024,,H Storm Isang,14.497286762590536,,gutter,,,,
306,,,,2024,,H Storm Isang,14.535338976801013,,gutter,,,,
307,,,,2024,,H Storm Isang,14.477660577070795,,knee,,,,
308,,,,2024,,k Level Monsoon of,14.492413397681979,,knee,,,,
310,,,,2024,,Storm Isang,14.479602622992225,,waist,,,,
311,,,,2024,,Storm Isang,14.49393854208995,,knee,,,,
312,,,,2024,,Storm Isang,14.493059846559792,,waist,,,,
313,,,,2024,,Storm Isang,14.492305493468319,,knee,,,,
314,,,,2024,,Storm Isang,14.5014903711989,,waist,,,,
315,,,,2024,,Enchanced of,14.502422808643697,,knee,,,,
317,,,,2024,,Storm Isang,14.491957517268371,,waist,,,,
319,,,,2024,,Storm Isang,14.478867685847364,,knee,,,,
320,,,,2024,,Storm Isang,14.532568661397367,,waist,,,,
321,,,,2024,,Storm Isang,14.530932670270202,,knee,,,,
323,,,,2024,,Storm Isang,14.528661909802958,,knee,,,,
324,,,,2024,,Storm Isang,14.50884535392817,,knee,,,,
326,,,,2024,,Storm Isang,14.515474568373776,,gutter,,,,
327,,,,2024,,Storm Isang,14.501338300802423,,knee,,,,
328,,,,2024,,Storm Isang,14.500735718592878,,knee,,,,
329,,,,2024,,by Tropical,14.492370497276706,,gutter,,,,
331,,,,2024,,a Subsided as,14.490705949199807,,knee,,,,
333,,,,2024,,Subsided as,14.478585115329807,,knee,,,,
334,,,,2024,,Subsided as,14.474896061573808,,waist,,,,
335,,,,2024,,Subsided as,14.468809635724792,,knee,,,,
336,,,,2024,,Dr. A. Subsided as,14.48112178,,knee,,,,
337,,,,2024,,Nortbound,14.479556620675234,,knee,,,,
338,,,,2024,,Dr. A.,14.479556620675234,,knee,,,,
339,,,,2024,,Dr. A. Subsided as,14.478580473257095,,knee,,,,
340,,,,2024,,Ave.,14.470123524264306,,waist,,,,
342,,,,2024,,Sucat,14.48461243571823,,knee,,,,
343,,,,2024,,Subsided as,14.4847012675427,,knee,,,,
344,,,,2024,,Subsided as,14.498194737481585,,gutter,,,,
345,,,,2024,,Subsided as,14.479410046415996,,gutter,,,,
347,,,,2024,,Dr. A.,14.481284062476721,,gutter,,,,
348,,,,2024,,Dr. A.,14.481985232429098,,gutter,,,,
349,,,,2024,,Dr. A.,14.481859278606118,,gutter,,,,
351,,,,2024,,Nando,14.468809635724792,,gutter,,,,
352,,,,2024,,Nando,14.48112178,,gutter,,,,
354,,,,2024,,Batang by Super,14.490872626703876,,gutter,,,,
356,,,,2024,,Southwest Subsided as,14.478585115329807,,gutter,,,,
357,,,,2024,,Opong,14.474896061573808,,waist,,,,
358,,,,2024,,Opong,14.475995199175895,,gutter,,,,
359,,,,2024,,Opong,14.47010227172084,,knee,,,,
361,,,,2024,,Level Monsoon of,14.468809635724792,,gutter,,,,
362,,,,2024,,Opong,14.483105095467582,,gutter,,,,
363,,,,2024,,Opong,14.482945749781626,,gutter,,,,
366,,,,2024,,Opong,14.496956942857365,,knee,,,,
367,,,,2024,,Opong,14.485455493031212,,knee,,,,
370,,,,2024,,Opong,14.492684755208328,,gutter,,,,
371,,,,2024,,Nortbound,14.479556620675234,,gutter,,,,
372,,,,2024,,Ave. Opong,14.475814931247912,,gutter,,,,
373,,,,2024,,Opong,14.464091237731296,,gutter,,,,
375,,,,2024,,enchanced,14.477715630603551,,knee,,,,
377,,,,2024,,Opong,14.496956942857365,,knee,,,,
378,,,,2024,,Opong,14.47517951255734,,gutter,,,,
379,,,,2024,,Opong,14.472623787208027,,gutter,,,,
381,,,,2024,,Monitor,14.470829242099052,,gutter,,,,
382,,,,2024,,Monitor,14.471341783668255,,gutter,,,,
383,,,,2024,,Monitor,14.474439794254856,,gutter,,,,
385,,,,2024,,Monitor,14.492684755208328,,,,,,
